categorias_agrupadas,media_score,num_avaliacoes,palavras_chaves
Biography,4.263635789407195,126652,"biography, classic, life, love, man, quot, reading, time, wonderful, written"
Economics,4.126093311105529,87578,"business, don, guide, life, money, new, quot, reading, time, useful"
Family,4.261014025921323,39427,"advice, baby, child, helpful, life, love, new, parents, resource, wonderful"
Fiction,4.177506462417034,1109492,"classic, favorite, love, novel, quot, reading, review, series, time, wonderful"
History,4.2375950942874265,108445,"account, american, fascinating, quot, reading, review, war, work, world, written"
Juvenile,4.402924535613713,38707,"children, classic, fun, kids, kill, little, love, mockingbird, review, wonderful"
Ṇo informado,4.231806040511098,1681712,"classic, guide, life, love, novel, quot, reading, review, time, wonderful"
Religion,4.3290517534899555,117480,"bible, christian, classic, god, life, love, quot, reading, review, wonderful"
Science,4.069043621503469,63134,"classic, guide, physics, quot, reading, review, science, text, time, written"
Social,4.1198126917487485,37158,"american, fascinating, life, like, quot, reading, review, women, work, written"
Study,4.007210002737976,21914,"dictionary, english, guide, helpful, language, learning, review, spanish, study, useful"
